order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDB01647,19/11/2018,18:38:52,Dinner,,"[('Salmon', 3), ('Shrimp', 9), ('Fish&Chips', 1), ('Pasta', 9)]",891.5,-37.8237969,144.9902366,0,9.493,13.4583433
ORDY04071,28/03/2018,10:52:23,Breakfast,TP,"[('Eggs', 5), ('Pancake', 10), ('Coffee', 3)]",375,-37.8130868,144.9634825,0,8.166,10.6066584
ORDZ03354,4/08/2018,15:05:54,Lunch,NS,"[('Burger', 6), ('Chicken', 7)]",410,-37.8034692,144.9497639,0,8.333,15.9921571
ORDI00927,18/01/2018,8:30:25,Breakfast,NS,"[('Steak', 6), ('Coffee', 1), ('Eggs', 7), ('Pancake', 6)]",433,-37.8229277,144.9371661,1,10.641,7.5779695
ORDY08485,2/06/2018,13:04:13,Breakfast,TP,"[('Salad', 6), ('Fries', 1), ('Chicken', 5), ('Burger', 6), ('Steak', 4)]",641.2,-37.8162962,144.9674446,0,7.904,13.0069439
ORDK07109,17/10/2018,17:38:01,Dinner,BK,"[('Fish&Chips', 1), ('Shrimp', 6)]",359,-37.8247325,145.005764,0,4.931,12.3525623
ORDJ11107,3/08/2018,15:05:54,Lunch,bk,"[('Steak', 8), ('Fries', 5), ('Burger', 3)]",513,-37.8144937,144.9882813,0,9.754,12.3326813
ORDC07158,23/07/2018,14:45:38,Lunch,NS,"[('Chicken', 2), ('Fries', 5), ('Salad', 9)]",278.8,-37.824887,144.9825012,0,9.35,
ORDJ04952,4/03/2018,10:01:41,Breakfast,TP,"[('Cereal', 4), ('Coffee', 9)]",151.5,-37.8240925,144.9352979,0,10.024,
ORDA02284,2/01/2018,8:00:00,Breakfast,BK,"[('Eggs', 2), ('Cereal', 2), ('Pancake', 6), ('Coffee', 4)]",261.5,-37.8128215,144.9431476,1,9.396,7.6173626
ORDZ04647,10/03/2018,10:11:49,Breakfast,NS,"[('Coffee', 10), ('Eggs', 7)]",229,-37.8024459,144.9637374,0,6.898,13.4904996
ORDB06114,7/08/2018,15:16:03,Lunch,TP,"[('Steak', 2), ('Fries', 8), ('Burger', 6), ('Salad', 3), ('Chicken', 8)]",679.6,-37.800443,144.958785,0,9.684,13.0471468
ORDI02534,10/08/2018,15:16:03,Lunch,NS,"[('Burger', 7), ('Chicken', 9)]",505,-37.7993049,144.9631605,0,6.896,12.3340225
ORDA05014,11/09/2018,16:16:54,Dinner,BK,"[('Salmon', 4), ('Fish&Chips', 7)]",328.5,-37.8176462,144.9486878,0,9.099,15.5755781
ORDI08619,14/08/2018,15:26:11,Lunch,NS,"[('Steak', 4), ('Burger', 7)]",397,-38.1109156,144.6541725,0,51.061,56.2687272
ORDI03714,21/12/2018,19:39:43,Dinner,NS,"[('Shrimp', 7), ('Pasta', 2), ('Fish&Chips', 8), ('Salmon', 9)]",1082,-37.8141155,144.9328762,0,9.071,14.9514482
ORDA07114,15/08/2018,15:26:11,Lunch,BK,"[('Chicken', 7), ('Burger', 3), ('Fries', 7)]",401,-37.8085098,144.97865,0,6.034,11.4923281
ORDX10568,2018-19-08,15:36:20,Lunch,BK,"[('Salad', 2), ('Steak', 2), ('Fries', 2), ('Chicken', 5)]",308.4,-37.8143429,144.9632356,0,7.738,15.7757238
ORDK01570,17/11/2018,18:38:52,Dinner,BK,"[('Pasta', 10), ('Fish&Chips', 3), ('Shrimp', 10)]",920,-37.8183799,144.9613454,0,8.092,17.8302658
ORDK10778,6/09/2018,16:16:54,Dinner,BK,"[('Shrimp', 6), ('Fish&Chips', 3)]",429,-37.7988906,144.9932646,0,5.895,12.489904
ORDZ00883,30/03/2018,10:52:23,Breakfast,NS,"[('Pancake', 9), ('Cereal', 3), ('Coffee', 4)]",311.25,-37.8080916,144.960357,0,7.602,12.6670766
ORDK04242,4/04/2018,11:02:32,Breakfast,,"[('Eggs', 9), ('Cereal', 2)]",240,-37.8156092,144.9789433,0,,10.9098186
ORDJ03115,20/08/2018,15:36:20,Lunch,TP,"[('Fries', 10), ('Burger', 10), ('Salad', 8)]",567.6,-37.8130163,144.9739665,0,8.655,12.2309859
ORDJ04281,23/04/2018,11:43:05,Breakfast,TP,"[('Pancake', 9), ('Cereal', 4), ('Coffee', 9)]",369.75,-37.8188221,144.9532768,1,8.518,11.6500729
ORDC08932,24/07/2018,14:45:38,Lunch,NS,"[('Fish&Chips', 3), ('Salad', 9), ('Fries', 9), ('Burger', 6)]",544.8,-37.805381,144.9363949,0,9.759,14.7961478
ORDJ01421,26/08/2018,15:46:28,Lunch,TP,"[('Steak', 2), ('Fries', 8), ('Salad', 6), ('Chicken', 2)]",353.2,-37.8049427,144.9758403,0,9.627,14.2001778
ORDC09567,6/04/2018,11:02:32,Breakfast,NS,"[('Pancake', 9), ('Coffee', 5), ('Cereal', 10), ('Eggs', 3)]",531.75,37.8123861,144.9656484,0,7.708,12.5792965
ORDJ10702,14/04/2018,11:22:49,Dinner,TP,"[('Eggs', 6), ('Pancake', 9), ('Cereal', 5), ('Coffee', 9)]",522.75,-37.8182639,144.9963825,0,10.265,13.9712083
ORDK08024,13/05/2018,12:23:39,Lunch,,"[('Fries', 7), ('Salad', 3), ('Burger', 4), ('Chicken', 3)]",355.6,-37.7951943,144.9494574,0,9.212,17.6247103
ORDK03370,10/02/2018,9:10:59,Breakfast,BK,"[('Eggs', 9), ('Coffee', 1), ('Pancake', 9), ('Cereal', 7)]",570.75,-37.825352,145.0033723,0,5.213,12.4136573
ORDC06844,22/09/2018,16:47:19,Dinner,NS,"[('Pasta', 10), ('Shrimp', 8)]",28.5,-37.8055154,144.9434756,0,9.083,16.5809946
ORDK10536,21/09/2018,16:37:10,Dinner,BK,"[('Fish&Chips', 10), ('Salmon', 9)]",719,-37.8131806,144.9477548,0,9.71,16.3522549
ORDY10580,4/09/2018,16:06:45,Dinner,TP,"[('Fish&Chips', 4), ('Salmon', 5)]",345,-37.799758,144.9491694,1,10.321,14.0592308
ORDK00977,26/01/2018,8:40:33,Breakfast,BK,"[('Pancake', 8), ('Coffee', 1)]",201.5,-37.799482,144.9805857,0,6.828,11.3279754
ORDK06935,1/07/2018,13:54:55,Dinner,BK,"[('Burger', 5), ('Salad', 3), ('Steak', 9), ('Chicken', 7), ('Fries', 4)]",883.6,-37.8134831,144.9657406,0,7.481,15.3169333
ORDB10843,21/05/2018,12:33:48,Lunch,,"[('Chicken', 7), ('Burger', 2), ('Salad', 4), ('Steak', 3)]",489.8,-37.8154782,144.95394,0,,11.7373207
ORDZ08370,8/02/2018,9:10:59,Breakfast,NS,"[('Pancake', 1), ('Coffee', 3)]",46.75,-37.8173459,144.9658029,0,7.784,13.7017401
ORDI10101,6/08/2018,15:05:54,Lunch,NS,"[('Fries', 10), ('Steak', 10), ('Salad', 9), ('Burger', 8), ('Chicken', 7)]",1196.8,-37.8098265,144.9668282,0,7.285,13.0379037
ORDX02668,21/06/2018,13:34:38,Lunch,BK,"[('Burger', 3), ('Fries', 2), ('Steak', 4), ('Chicken', 8), ('Salad', 3)]",604.6,-37.8164251,144.9458711,0,9.264,14.9834129
ORDK06983,9/05/2018,12:13:31,Lunch,BK,"[('Salad', 4), ('Burger', 1), ('Chicken', 9), ('Steak', 1)]",432.8,-37.8003886,144.9640579,0,7.985,14.6991149
ORDC05896,23/12/2018,19:49:51,Dinner,NS,"[('Shrimp', 5), ('Pasta', 10)]",545,-37.8181737,145.0040233,0,10.486,18.4264921
ORDC03414,22/05/2018,12:43:56,Lunch,bk,"[('Steak', 4), ('Salad', 9)]",334.8,-37.8176365,144.9947456,0,9.693,15.1626213
ORDI04308,18/08/2018,15:36:20,Lunch,NS,"[('Fries', 8), ('Chicken', 8)]",352,-37.8115054,144.9729388,0,7.445,14.9718332
ORDK05084,18/10/2018,17:38:01,Dinner,TP,"[('Shrimp', 3), ('Pasta', 8)]",382,-37.8186879,144.9670361,0,7.602,14.5732605
